date,nlikes,nretweets,nreplies,comp,pos,neutral,neg
2022-02-03,-0.9879267832796681,-0.9908638952269649,-0.9994144684837661,0,0.121,0.847,0.032
2022-02-05,-0.9438865198851275,-0.959022019403788,-0.9977749802383113,0,0.0,1.0,0.0
2022-02-07,-0.9911312234695753,-0.9932105292448105,-0.9899581344965893,0,0.115,0.8545,0.0305
2022-02-09,-0.9668107407729721,-0.9693917302020146,-0.9805603536610358,-1,0.0,0.865,0.135
2022-02-10,-0.9969560719016816,-0.9956220898955609,-0.9955499604766227,0,0.035,0.965,0.0
2022-02-11,-0.9978031116139201,-0.9978852468139574,-0.9954914073249993,0,0.121,0.776,0.103
2022-02-12,-0.9975981202680358,-0.9989055224738902,-0.9966039172058436,1,0.284,0.641,0.075
2022-02-13,-0.9972693605623725,-0.9986272654757267,-0.9954328541733759,0,0.0,1.0,0.0
2022-02-14,-0.9986308125199431,-0.9988405958409854,-0.9982141288754868,1,0.17049999999999998,0.803,0.0265
2022-02-15,-0.9993734226786181,-0.9996104402025711,-0.9983019586029218,0,0.076,0.89,0.034
2022-02-16,-0.9949138939653255,-0.9954922366297513,-0.9946716632022718,0,0.121,0.879,0.0
2022-02-17,-0.988176253879848,-0.9930435750459125,-0.9437889744415493,0,0.063,0.86,0.077
2022-02-18,-0.9719045823301328,-0.978082623777988,-0.9209532453084287,0,0.118,0.7875,0.094
2022-02-19,-0.9619025517554801,-0.9722670525163708,-0.8505723570571186,0,0.148,0.741,0.111
2022-02-22,-0.9936104584264014,-0.9952510805646761,-0.9941154082618497,-1,0.0,0.8085,0.1915
2022-02-23,-0.9997369922354693,-0.9998515962676461,-0.9985361712094154,1,0.205,0.795,0.0
2022-02-24,-0.9997369922354693,-0.9997959448680134,-0.9976578739350646,0,0.166,0.834,0.0
2022-02-26,-0.966377551513745,-0.96647930695457,-0.8752232338905641,1,0.213,0.787,0.0
2022-02-27,-0.9997176534292538,-0.9997031925352923,-0.9960769388412332,0,0.09,0.91,0.0
2022-02-28,-0.9996151577563117,-0.9996289906691154,-0.9979506396931815,0,0.219,0.781,0.0
2022-03-01,-0.9996693064137151,-0.9996382659023875,-0.9979213631173698,0,0.153,0.8125,0.0345
2022-03-03,-0.9975130295206877,-0.9974400356168958,-0.9926808560470768,1,0.188,0.812,0.0
2022-03-04,-0.9995513396958006,-0.9996475411356596,-0.9955499604766227,0,0.215,0.785,0.0
2022-03-07,-0.9893211112078052,-0.9886285640083848,-0.9838393301519455,1,0.169,0.831,0.0
2022-03-08,-0.9995165298446127,-0.9997495687016529,-0.9966039172058436,1,0.174,0.8260000000000001,0.0
2022-03-09,-0.9995474719345575,-0.9995733392694827,-0.9953743010217525,0,0.0,1.0,0.0
2022-03-11,-0.9966389154797475,-0.9968603335373885,-0.9971162572825483,0,0.14575,0.8205,0.03375
2022-03-12,-0.9999535868650828,-0.9999814495334558,-0.9998828936967532,0,0.098,0.748,0.154
2022-03-14,-0.8831704038909678,-0.9112298340969942,-0.9125606269090767,0,0.049999999999999996,0.9500000000000001,0.0
2022-03-15,-0.9989827787930651,-0.9991837794720537,-0.9951986415668823,-1,0.061,0.779,0.161
2022-03-17,-0.9854804242934083,-0.9910030237260468,-0.943818251017361,0,0.0265,0.9279999999999999,0.0455
2022-03-18,-0.9993154062599716,-0.99951768786985,-0.9927394091987001,1,0.322,0.678,0.0
2022-03-21,-0.9998259507440606,-0.9998515962676461,-0.9973065550253243,0,0.0,1.0,0.0
2022-03-22,-0.9992438526769742,-0.9996939173020202,-0.9982434054512984,0,0.1705,0.7689999999999999,0.0605
2022-03-24,-0.9861070016147904,-0.9911978036247612,-0.987791667886524,1,0.19799999999999998,0.78,0.0215
2022-03-25,-0.951649116700026,-0.993804144174226,-0.9621161108996692,-1,0.0,0.472,0.528
2022-03-26,-0.9998356201471683,-0.9999721743001837,-0.9997365108176948,0,0.0755,0.9245,0.0
2022-03-28,-0.959500672023516,-0.9702821525961378,-0.9057294258863483,1,0.272,0.728,0.0
2022-03-29,-0.9931908063315251,-0.995000649266329,-0.9621161108996692,1,0.186,0.8140000000000001,0.0
2022-03-30,-0.9994391746197507,-0.9994434860036729,-0.9965453640542202,1,0.256,0.686,0.058
2022-04-01,-0.9804852106479467,-0.980225202663847,-0.9413004654975554,0,0.1365,0.8634999999999999,0.0
2022-04-04,-0.9971610632475657,-0.9960116496929898,-0.9879966039172059,-1,0.135,0.685,0.18
2022-04-05,-0.999686711339309,-0.9998330458011019,-0.9963111514477266,0,0.1,0.9,0.0
2022-04-08,-0.9994004970073197,-0.9991652290055095,-0.9955499604766227,0,0.093,0.907,0.0
2022-04-09,-0.8965799321207902,-0.9533270261747083,-0.8186608894223731,-1,0.0,0.791,0.209
2022-04-14,-0.996074222338255,-0.9961971543584321,-0.9913341335597389,0,0.066,0.934,0.0
2022-04-15,-0.9996983146230383,-0.9994434860036729,-0.994554556899025,0,0.0,1.0,0.0
2022-04-18,-0.9968052292132007,-0.9959188973602686,-0.9929150686535703,-1,0.0,0.839,0.161
2022-04-19,-0.9980757887815586,-0.9984417608102844,-0.9936469830488626,0,0.0925,0.8815,0.026
2022-04-21,-0.9931540625997157,-0.995547888029384,-0.9725971250402553,0,0.0,1.0,0.0
2022-04-22,-0.9725795066670534,-0.9899827480661139,-0.965570746845449,0,0.053,0.7395,0.2075
2022-04-24,-0.9999381158201104,-1.0,-0.9998243405451298,0,0.0,1.0,0.0
2022-04-25,-0.9981202680358542,-0.9986272654757267,-0.9940275785344146,1,0.068,0.932,0.0
2022-04-26,-0.9972074763824829,-0.9972668979291496,-0.9954718896077915,0,0.079,0.8290000000000001,0.09199999999999998
2022-04-27,-0.9996383643237703,-0.9994342107704008,-0.997423661328571,0,0.0,1.0,0.0
2022-04-28,-0.9999883967162707,-1.0,-0.9999414468483766,-1,0.089,0.757,0.155
2022-04-30,-0.9951034142662374,-0.9979037972805016,-0.9887577948883098,1,0.23,0.731,0.039
2022-05-01,-0.9393225616182713,-0.9774148069823956,-0.9432034429253154,0,0.1665,0.8335,0.0
2022-05-03,-0.7839990717373017,-0.9551635223625874,-0.8996398981175162,1,0.27949999999999997,0.688,0.0325
2022-05-04,-0.9966853286146646,-0.9969948244198341,-0.9862839242322218,0,0.0535,0.8955,0.051
2022-05-05,-0.9995242653670989,-0.9992765318047749,-0.9970723424188307,-1,0.0,0.796,0.20400000000000001
2022-05-06,-0.9901758864425299,-0.9933774834437086,-0.9987118306642855,1,0.215,0.725,0.061
2022-05-08,-0.9990446629729547,-0.9990539262062441,-0.9919782182275961,0,0.076,0.924,0.0
2022-05-10,-0.9970469642908943,-0.9979316229803179,-0.9954328541733759,1,0.187,0.7745,0.0385
2022-05-11,-0.9795801545170617,-0.9896859406014061,-0.9982434054512984,0,0.0475,0.9524999999999999,0.0
2022-05-12,-0.9992573898413251,-0.9989426234069787,-0.9939104722311678,0,0.0,1.0,0.0
2022-05-13,-0.9538067749363546,-0.9614335800545384,-0.9207441269097737,0,0.09085714285714286,0.8280000000000001,0.08114285714285716
